Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Latin America & the Caribbean (IDA & IBRD countries),TLA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,19556.73362
Latvia,LVA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,37007.36837
Least developed countries: UN classification,LDC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3819.507249
Lebanon,LBN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Lesotho,LSO,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2595.829523
Liberia,LBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,1616.923734
Libya,LBY,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,12478.14346
Liechtenstein,LIE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Lithuania,LTU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,46740.40919
Low & middle income,LMY,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,12901.99752
Low income,LIC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2325.417723
Lower middle income,LMC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,8379.974488
Luxembourg,LUX,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,132846.5737
"Macao SAR, China",MAC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,104961.6435
Madagascar,MDG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,1643.309348
Malawi,MWI,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,1648.436518
Malaysia,MYS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,32812.29975
Maldives,MDV,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,22286.98017
Mali,MLI,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2394.672164
Malta,MLT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,61125.7104
Marshall Islands,MHL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,6786.695693
Mauritania,MRT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,6258.710913
Mauritius,MUS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,26590.42388
Mexico,MEX,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,22142.60728
"Micronesia, Fed. Sts.",FSM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3886.696571
Middle East & North Africa,MEA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,18660.31658
Middle East & North Africa (excluding high income),MNA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,12829.92585
Middle East & North Africa (IDA & IBRD countries),TMN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,12921.12064
Middle income,MIC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,14233.41829
Moldova,MDA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,15855.27374
Monaco,MCO,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Mongolia,MNG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,16222.86389
Montenegro,MNE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,27869.64983
Morocco,MAR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,8868.711914
Mozambique,MOZ,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,1511.636535
Myanmar,MMR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5364.13797
Namibia,NAM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,10105.51477
Nauru,NRU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,12462.84129
Nepal,NPL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4859.800104
Netherlands,NLD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,71446.69374
New Caledonia,NCL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
New Zealand,NZL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,48826.57553
Nicaragua,NIC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,7486.942762
Niger,NER,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,1703.396933
Nigeria,NGA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5593.056614
North America,NAC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,72586.85298
North Macedonia,MKD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,23584.56489
Northern Mariana Islands,MNP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Norway,NOR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,90469.81119
Not classified,INX,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
OECD members,OED,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,53117.07881
Oman,OMN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,38311.41834
Other small states,OSS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,28315.62118
Pacific island small states,PSS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,7209.948675
Pakistan,PAK,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5439.18762
Palau,PLW,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,15796.54027
Panama,PAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,35863.88015
Papua New Guinea,PNG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4174.44164
Paraguay,PRY,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,15783.11501
Peru,PER,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,15294.25678
Philippines,PHL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,9901.056524
Poland,POL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,44384.16818
Portugal,PRT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,41755.47932
Post-demographic dividend,PST,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,58729.14584
Pre-demographic dividend,PRE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4040.607071
Puerto Rico,PRI,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,42994.78564
Qatar,QAT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,116159.1426
Romania,ROU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,40665.52829
Russia,RUS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,39753.45703
Rwanda,RWA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3060.028931
Samoa,WSM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,6304.346137
San Marino,SMR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Sao Tome and Principe,STP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5541.301676
Saudi Arabia,SAU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,55055.39968
Senegal,SEN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4317.226392
Serbia,SRB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,26030.02095
Seychelles,SYC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,29468.95128
Sierra Leone,SLE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3034.218943
Singapore,SGP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,127543.5548
Sint Maarten (Dutch part),SXM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,44894.69346
Slovak Republic,SVK,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,39290.43258
Slovenia,SVN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,48243.94175
Small states,SST,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,25554.41982
Solomon Islands,SLB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2534.027563
Somalia,SOM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,1402.469921
South Africa,ZAF,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,13690.38946
South Asia,SAS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,8439.404649
South Asia (IDA & IBRD),TSA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,8439.404649
South Korea,KOR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,50572.24999
South Sudan,SSD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Spain,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,47141.54104
Sri Lanka,LKA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,13029.52394
St. Kitts and Nevis,KNA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,30409.40411
St. Lucia,LCA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,23403.46177
St. Martin (French part),MAF,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
St. Vincent and the Grenadines,VCT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,18335.21208
Sub-Saharan Africa,SSF,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4309.351459
Sub-Saharan Africa (excluding high income),SSA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4306.96344
Sub-Saharan Africa (IDA & IBRD countries),TSS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4309.351459
Sudan,SDN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2469.19458
Suriname,SUR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,19043.70529
Sweden,SWE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,63114.67979
Switzerland,CHE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,82557.55019
Syrian Arab Republic,SYR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Tajikistan,TJK,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4472.324138
Tanzania,TZA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3620.793457
Thailand,THA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,21142.66433
Timor-Leste,TLS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4328.50782
Togo,TGO,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2767.516558
Tonga,TON,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Trinidad and Tobago,TTO,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,31705.83338
Tunisia,TUN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,12552.98669
Turkiye,TUR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,34609.91551
Turkmenistan,TKM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,17866.40418
Turks and Caicos Islands,TCA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,22305.65927
Tuvalu,TUV,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5812.39329
Uganda,UGA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2791.055769
Ukraine,UKR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,15885.22559
United Arab Emirates,ARE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,68577.54057
United Kingdom,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,54542.01691
United States,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,74577.50654
Upper middle income,UMC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,20620.34977
Uruguay,URY,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,31019.31139
Uzbekistan,UZB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,10007.6855
Vanuatu,VUT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3118.396033
"Venezuela, RB",VEN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Vietnam,VNM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,13491.87942
Virgin Islands (U.S.),VIR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
West Bank and Gaza,PSE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5313.097903
World,WLD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,20670.94106
"Yemen, Rep.",YEM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Zambia,ZMB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3673.484197
Zimbabwe,ZWE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3442.251327
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/16/2024,,,,
